word|transliteration|meaning|sentences
行く|いく|to go|日曜日は図書館に行きます。<br><br>私は夏休みにプールに行った。
見る|みる|"""<span style=""""color: rgb(14, 130, 255);"""">to see, look at</span>"""|私は絵を見るのが好きです。<br><br>仕事のあと、映画を見た。
多い|おおい|a lot of, many|京都にはお寺が多い。<br><br>この道は車が多い。
家|うち|home, household<br>|家に遊びにきてください。<br><br>夏休みにお祖母ちゃんの家へ行きました。
これ|これ|this, this one|これをください。<br><br>これはあなたの鞄ですか。
それ|それ|that, that one|それはとてもいい話だ。<br><br>それを一つください。
私|わたし|I (general)|私が行きましょう。<br><br>私は毎朝コーヒーを飲みます。
仕事|しごと|work, job|3月は仕事が忙しい。<br><br>仕事のあと、映画を見た。
いつ|いつ|when|彼女はいつ来ますか。<br><br>次はいつ会いましょうか。
する|する|"""to do, <span style=""""color: rgb(102, 102, 102);"""">to make, to wear accessories like earrings</span>"""|友達と一緒に宿題をした。<br><br>男の子たちがサッカーをしている。
出る|でる|to go out, leave|今朝は早く家を出ました。<br><br>今日は5時に会社を出ます。
使う|つかう|"""to use, <font color=""""#8e8e93"""">make use of</font><br>"""|このパソコンを使ってください。<br><br>彼女は辞書をよく使います。
所|ところ|place|私は友達の所に泊まった。<br><br>今年の夏休みには静かな所へ行きたい。
作る|つくる|to make, create|今、朝ご飯を作っています。<br><br>母がコーンスープを作っている。
思う|おもう|"""<font color=""""#0a84ff"""">to think, believe</font>"""|私もそう思います。<br><br>あなたはどう思いますか。
持つ|もつ|to have, carry, possess|私は車を持っています。<br><br>私は黒いバッグを持っています。
買う|かう|to buy|郵便局で切手を買いました。<br><br>本を1冊買いました。
時間|じかん|time, hour|今は時間がありません。<br><br>まだ学校へ行くには早い時間です。
知る|しる|to know|誰もその話を知らない。<br><br>あの女の子を知っていますか。
同じ|おなじ|"""<font color=""""#007aff"""">same, identical</font>"""|彼の日本語のレベルは私と同じくらいだ。<br><br>いとこと私は同じ年です。
今|いま|now|彼は今、勉強しています。<br><br>今ホテルに着きました。
新しい|あたらしい|new|彼の車は新しい。<br><br>新しいテーブルを買いました。
なる|なる|to become|彼は医者になりました。<br><br>私は日本語の先生になりたいです。
まだ|まだ|"""<span style=""""color: rgb(102, 102, 102);"""">(not)</span> yet, still"""|宿題はまだ終わっていません。<br><br>彼はまだ若いです。
あと|あと|later, after|仕事のあと、映画を見た。<br><br>このあと、時間がありますか。
聞く|きく|to listen, ask, hear|彼女はラジオを聞いています。<br><br>誰かに聞いてみてください。
言う|いう|to&nbsp;say, tell|上司が「一杯、飲もう」と言った。<br><br>彼はまた電話すると言いました。
少ない|すくない|few, little|今年は雨が少ないです。<br><br>この町には外人が少ない。
高い|たかい|high, tall, expensive|これがこの町で一番高いビルです。<br><br>彼はクラスで一番背が高い。
子供|こども|child|電車で子供が騒いでいた。<br><br>子供はカレーライスが好きです。
そう|そう|so, that way|私もそう思います。<br><br>彼女はそう言いました。
もう|もう|"""<span style=""""background-color: rgb(255, 0, 0); color: rgb(255, 255, 255);"""">now</span>, soon;<br><span style=""""color: rgb(255, 170, 0);"""">already</span> <span style=""""color: rgb(102, 102, 102);"""">(past)</span>, <span style=""""color: rgb(255, 170, 0);"""">anymore</span> <span style=""""color: rgb(102, 102, 102);"""">(neg)</span>;<div><span style=""""color: rgb(0, 122, 255);"""">another, again</span></div>"""|彼はもう帰りました。<br><br>もうお金が無くなりました。
学生|がくせい|student|彼は真面目な学生です。<br><br>僕は学生です。
熱い|あつい|hot (to touch)|このスープはとても熱い。<br><br>私のお祖母ちゃんは熱いお茶が好きです。
どうぞ|どうぞ|please, go ahead|こちらへどうぞ。<br><br>次の方、どうぞ。
午後|ごご|afternoon, p.m.|明日の午後、お客様が来る。<br><br>午後8時に大阪に着きます。
長い|ながい|long|彼女の髪はとても長い。<br><br>夏は日が長い。
本|ほん|book|本を1冊買いました。<br><br>この本はすごく面白かった。
今年|ことし|this year (colloquial)|今年はイタリアに旅行したい。<br><br>今年は雨が少ないです。
よく|よく|often, well|彼女はよく旅行に行きます。<br><br>彼はよく映画を見ます。
彼女|かのじょ|she, girlfriend|彼女はOLです。<br><br>彼女はいつも元気だ。
どう|どう|"""how, <font color=""""#8e8e93"""">in what way</font>"""|あなたはどう思いますか。<br><br>私はどうしたらいいですか。
言葉|ことば|word, language|この言葉の意味が分かりません。<br><br>言葉に気を付けてください。
顔|かお|face|彼はタオルで顔を拭きました。<br><br>早く顔を洗いなさい。
終わる|おわる|to end, finish|会議は4時に終わります。<br><br>やっと仕事が終わりました。
一つ|ひとつ|one (thing)|それを一つください。<br><br>問題が一つあります。
あげる|あげる|"""to give, offer <span style=""""color: rgb(102, 102, 102);"""">(casual)</span>"""|この本、あなたにあげます。<br><br>赤ちゃんにミルクをあげた。
こう|こう|"""like this, <font color=""""#8e8e93"""">in this way, this kind of</font>"""|こう小さい字は読めない。<br><br>母はいつも私に「こうしなさい。」と言います。
学校|がっこう|school|学校は8時半に始まります。<br><br>この学校は1クラス30人です。
くれる|くれる|"""to be given to [the speaker]&nbsp;<div><span style=""""color: rgb(102, 102, 102);"""">(direct object を)</span></div>"""|友達が誕生日プレゼントをくれた。<br><br>父が本をくれました。
始める<br>はじまる　始まる|はじめる|"""to begin, start <font color=""""#8e8e93"""">(something)</font><div><font color=""""#8e8e93"""">(direct object を)</font></div>"""|テストを始めてください。<br><br>そろそろ始めましょうか。
起きる|おきる|"""1. to get up, wake up, get out of bed<br>2. to occur, happen <font color=""""#8e8e93"""">(spontatneous or naturally)</font>"""|私は毎朝6時に起きます。<br><br>今日は7時に起きました。
春|はる|"""<font color=""""#34c759"""">spring</font>"""|今年の春は暖かいね。<br><br>私の一番好きな季節は春です。
午前|ごぜん|morning, a.m.|午前9時のニュースです。<br><br>ロンドンには午前10時に着きます。
別|べつ|"""<span style=""""color: rgb(255, 0, 255);"""">another, different</span>"""|別の本も見せてください。<br><br>このTシャツの別の色はありますか。
どこ|どこ|where|あの本をどこに置きましたか。<br><br>郵便局はどこですか。
部屋|へや|room|私の部屋は2階にあります。<br><br>そっちが私の部屋です。
若い|わかい|young|彼はまだ若いです。<br><br>その店は若い客が多いです。
車|くるま|"""car, <font color=""""#8e8e93"""">automobile</font>"""|弟が車を買った。<br><br>車を止めて。
置く|おく|"""<font color=""""#34c759"""">to put, place </font><font color=""""#8e8e93"""">(direct object)</font>"""|彼はかばんをいすの上に置きました。<br><br>あの本をどこに置きましたか。
住む|すむ|to live, reside, inhabit|彼は会社の近くに住んでいる。<br><br>彼はアパートに住んでいます。
働く|はたらく|to work|姉は銀行で働いています。<br><br>彼女はパートで働いています。
難しい|むずかしい|hard, difficult|この本は難しいですね。<br><br>外国語を習うのは難しい。
先生|せんせい|teacher (colloquial)|私は日本語の先生になりたいです。<br><br>彼の父親は先生です。
立つ|たつ|"""to stand, rise <font color=""""#8e8e93"""">(no direct object)</font>"""|彼はステージに立った。<br><br>道の真ん中に人が立っている。
呼ぶ|よぶ|"""to call, name&nbsp;<font color=""""#8e8e93"""">(as in assigning a name)</font>"""|ウェイターを呼びましょう。<br><br>タクシーを呼んでください。
大学|だいがく|university, college|大学に行ってもっと勉強したいです。<br><br>うちの息子は大学1年生です。
安い|やすい|cheap, inexpensive|この服はとても安かった。<br><br>あの店は魚が安いです。
もっと|もっと|more|もっと近くに来てください。<br><br>もっとゆっくり話してください。
帰る|かえる|to go back home|家に帰ろう。<br><br>彼はもう帰りました。
分かる|わかる|to understand, know|質問の意味は分かりましたか。<br><br>その子は日本語が分からない。
広い|ひろい|"""wide, big, <font color=""""#8e8e93"""">spacious</font>"""|彼の家はとても広い。<br><br>海は広くて大きい。
